,RESUMO,TEXTO,LABEL
0,Lula relança programa odontológico do SUS: 'Só assim para sorrir com esses juros' | Sensacionalista | O Globo,"('          O presidente Lula relançou hoje o programa Brasil Sorridente. Segundo ele, foi a alternativa para fazer o brasileiro sorrir uma vez que o Banco Central não abaixa a taxa Selic.      “Era isso ou colocar o COPOM no PL das Fake News, porque essa taxa parece mentira”, disse no evento.     “Eu tive que relançar esse programa porque muita gente quebrou os dentes de raiva no governo Bolsonaro”, afirmou. “E também tive que tomar essa providência porque o povo precisa de dente novo para comer picanha”.      Quem não está rido de nada nos últimos dias é o ex-ajudante de Bolsonaro, Mauro Cid. Ele disse que os 190 mil em dinheiro vivo encontrados em sua casa foi o que ele economizou não indo ao cabeleireiro.     ',)",False
0,Bolsonaro é a primeira pessoa a ter efeito colateral por não tomar a vacina | Sensacionalista | O Globo,"('          A Organização Mundial da Saúde demonstrou preocupação com pessoas que fingem tomar a vacina da COVID e alertou para o risco aumentado de encarceramento dessa população.      Apos flagrar a adulteração no cartão de vacinação de Bolsonaro, a Polícia Federal emitiu nota dizendo: “Ainda bem que a carteira de vacinação é impressa e auditável”. Caso tenha sua prisão decretada, a PF quer que uma força tarefa em conjunto com o SUS leve o Zé Gotinha para algemar Jair Bolsonaro.      Por falsificar um documento para entrar nos Estados Unidos, Bolsonaro pode ser preso lá e ir parar em Guantánamo. “Vai pra Cuba”, declarou im porta-voz do governo americano.     ',)",False
0,Nutricionista alerta que Flávio Dino está jantando muito marreco | Sensacionalista | O Globo,"('          O nutricionista do ministro da Justiça Flávio Dino assistiu preocupado seu cliente jantar, muito cedo, o senador Sérgio Moro.      “Eu sou uma pessoa honesta, ficha limpa. Eu fui juiz. Nunca fiz conluio com o Ministério Público. Nunca tive uma sentença anulada”, disse Dino.     Moro deve ter dito alguma coisa em resposta, mas sua voz foi abafada pelo som do ministro lambendo os beiços depois da refeição.     “Marreco é carne ultra branca e muito molenga, mas dependendo do preparo pode ter muito sódio e aumentar a pressão”, disse o nutricionista. “Tem que evitar essas porções muito grandes como a de hoje.”      Após outro embate com o senador Marcos do Val, Dino pode ser convocado pela Marvel para o próximo filme dos Vingadores no papel de “Homem Lacre”.     ',)",False
0,Carluxo quer que assessores cumpram 20% de sua pena no caso das rachadinhas | Sensacionalista | O Globo,"('          O 02 finalmente pode ser o 01. Sem foro privilegiado, Carluxo pode ser o primeiro da família a ser preso. O ex-vereador agora está sem mandato, mas brevemente pode ter um mandado. De prisão.      Carluxo pode mais uma vez comandar a campanha do pai. Ele poderá se reunir permanentemente com Mauro Cid, Roberto Jefferson e Daniel Silveira.      O filho do ex-presidente publicou um Tweet sobre a situação. “A diferença entre poder e ter é que para ter você tem que poder e ninguém sabe quem ignora as cumplicidades e sordidezas profundas. Não, jamais”.     ',)",False
0,Diplomacia pede que Charles chame brasileiro de Lula III | Sensacionalista | O Globo,"('          O presidente Lula vai levar de presente ao rei Charles uma picanha. O encontro está cercado de cuidados. Charles já recebeu a orientação de se referir ao brasileiro como Lula terceiro. O monarca deve evitar olhar fixamente para Lula e, ao caminhar, só poderá andar atrás dele.      Lula recebeu um convite para visitar os palácios de Londres, onde buscará inspiração para comprar sofás e outros móveis.      O rei, porém, ainda não sabe se poderá ter audiência com Lula. A agenda do presidente está muito lotada e o monarca está como cliente de plano de saúde: só é atendido se houver algum encaixe.     ',)",False
0,"Com celular apreendido, Bolsonaro passa a colar fake news em postes | Sensacionalista | O Globo","('          Bolsonaro estava irritado, falando coisas desconexas e xingando quem estivesse por perto. Isso foi durante seu período na presidência. Quando a Polícia Federal levou seu celular, ele ficou tranquilo.      Imprimiu 200 folhas com mensagens dizendo que Mauro Cid é um esquerdista infiltrado em seu círculo de amigos e partiu para colá-los em postes – fake news impressa e auditável. “Aquele cabelinho dele não é coisa de patriota de verdade”, dizia o texto.      Após a revelação de que pode ter tido cometido crime de falsificar documento, Bolsonaro ficou orgulhoso com a possibiliade de ter gabaritado o Código Penal: além de uso de documento falso, infração de medida sanitária preventiva, associação criminosa, ele também pode ser condenado por corrupção de menores, por forjar o cartão da filha. “Foi uma fraquejada, tá ok?”.     ',)",False
0,"'OMS decretou fim da pandemia agora porque era só para atrapalhar o meu governo', diz Bolsonaro | Sensacionalista | O Globo","('          Bolsonaro comentou hoje o anúncio do fim da fase emergencial da pandemia de Covid-19. Segundo ele, é muito suspeito que tenham acabado com a pandemia (algo que não aconteceu) justamente depois de seu governo.      “Pessoal fica falando que eu menti no cartão, que não me vacinei. Por que ia me vacinar se a pandemia acabou?”, disse ele no meio da rua porque está sem celular.      Bolsonaro pode ser a primeira pessoa a ter um efeito colateral por não ter tomado a vacina: ir para a cadeia. A PF já pediu uma cópia da chave da casa de Bolsonaro para facilitar novas visitas.     ',)",False
0,PF pede cópia da chave da casa de Bolsonaro para facilitar próximas visitas | Sensacionalista | O Globo,"('          Para faciltiar o trabalho, a Polícia Federal pediu uma cópia da chave da casa dos Bolsonaro em Brasília após a operação de quarta-feira, conhecida como “Cartão de Vacilação”.      O nutricionista dos agentes da PF já recomendaram que eles recusem tomar café da manhã com pão e leite condensado se a frequência das visitas subir muito. Aliás, um empresário bolsonarista do ramo de laticínios já se conformou com o destino do líder e doou uma tonelada de leite condensado para o presídio da Papuda.      Após a revelação de que entrar nos EUA com cartão de vacinação falso pode dar até 10 anos de cadeia, um usuário criou uma vaquinha online para custear uma passagem só de ida de Bolsonaro a Miami. Em menos de uma hora, ela arrecadou dinheiro para comprar um Boeing 777.     ',)",False
0,Bolsonaro diz que não conhece Wassef e usa Wassef como testemunha | VEJA,"('\n\n\n\n\n\n\n                        por redação \nsiga\n \n\n\n\n\n\n\npolítica \nbolsonaro diz que não conhece wassef e usa wassef como testemunha\no presidente tenta de toda maneira se afastar da figura do advogado, dono da casa onde estava fabrício queiroz\n\n    por  \n      atualizado em 26 jun 2020, 06h55 - publicado em 26 jun 2020, 06h00    \n\n\n\n\n \xa0(adriano machado/reuters)\n\npublicidade\n\n\n\n\n\n \no presidente tenta de toda maneira se afastar da figura de fred wassef, dono da casa onde estava fabrício queiroz. o advogado de porta de gabinete afirma que também não sabe quem é bolsonaro — e que queiroz foi jogado dentro de sua propriedade pelo ex-presidente lula dez minutos antes de a polícia chegar. mas não tem certeza: “pode ser também que tenha pulado o muro sozinho. já é uma esperança de medalha para o salto em tóquio no ano que vem”.\nlogo depois, wassef mudou mais uma vez de versão. disse que alugou a casa para queiroz no airbnb. “dei zero estrela para ele. deixou colchão na sala, fez uma bagunça.”\njá queiroz, que está na cadeia, vem reclamando que sente falta da mulher. “é como separar as metades da laranja”, disse, cantarolando fábio jr.\npublicado em veja de 1 de julho de 2020, edição nº 2693\ncontinua após publicidade\n\n\nleia mais  enfermeira admite que emprestou senha para exclusão de vacina de bolsonaro  sob pressão, lula acelera liberação de recursos e loteamento de cargos  festa do união brasil tem ausência de ministros da cota do partidomais lidas1brasil pf encontra certificados de diamantes na casa de mauro cid2cultura a indireta de rodrigo bocardi a luciano hang durante telejornal da globo3cultura o primeiro grande acerto de walcyr carrasco em ‘terra e paixão’4cultura o mais novo climão entre patrícia poeta e manoel soares no ‘encontro’5brasil pf acha cartão de crédito de bolsonaro e papéis sobre atos golpistas \n\npublicidade\n\n\n\n\n\n\n\n\nrecomendadas\n\nrecomendado por\n\n \n\n\n\n\n\n\n\n\n\n',)",False
0,Analista político no Brasil terá adicional de insalubridade | VEJA,"('\n\n\n\n\n\n\n                        por redação \nsiga\n \n\n\n\n\n\n\nbrasil \nanalista político no brasil terá adicional de insalubridade\nbrasil é o país fora de condição de guerra cujos cidadãos menos sentem tédio\n\n    por  \n      atualizado em 1 abr 2021, 18h14 - publicado em 2 abr 2021, 06h00    \n\n\n\n\n \xa0(anadolu/getty images)\n\npublicidade\n\n\n\n\n\n \nde acordo com pesquisa da anthony hopkins university, o brasil é o país fora de condição de guerra cujos cidadãos menos sentem tédio. o último período sem reviravolta ou polêmica na política durou sete minutos e 57 segundos, quando o país parou para ver o bloco final de avenida brasil.\na profissão de analista político no brasil foi incluída na categoria de funções insalubres. a\xa0organização internacional do trabalho (oit) avalia se alguns analistas políticos brasileiros têm trabalhado em condições análogas à escravidão. especula-se inclusive que a gravidez da jornalista andréia sadi estaria durando onze meses, já que o brasil não dá chance de ela dar à luz seus gêmeos.\npublicado em veja de 7 de abril de 2021, edição nº 2732\npolíticaleia mais  em feira do mst, paulo teixeira ironiza cpi e critica campos neto  arcebispo do rio tem carro e batina roubados em assalto  alertas de desmatamento na amazônia caem 68% em abril, diz inpemais lidas1brasil pf encontra certificados de diamantes na casa de mauro cid2cultura a indireta de rodrigo bocardi a luciano hang durante telejornal da globo3cultura o primeiro grande acerto de walcyr carrasco em ‘terra e paixão’4cultura o mais novo climão entre patrícia poeta e manoel soares no ‘encontro’5brasil pf acha cartão de crédito de bolsonaro e papéis sobre atos golpistas \n\npublicidade\n\n\n\n\n\n\n\n\nrecomendadas\n\nrecomendado por\n\n \nskipads by \n\n\n\n\n\n\n\n\n',)",False
